Experiment,Total Reads,Aligned Reads % (Transcriptome)
Tnfr_KO_LPS_4h_S22_rsem,2139441,63.42
Tnfr_KO_LPS_4h_S23_rsem,2452329,63.46
Tnfr_KO_LPS_4h_S25_rsem,1791359,61.78
Tnfr_KO_LPS_4h_S27_rsem,2537501,66.15
Tnfr_KO_LPS_4h_S28_rsem,1522029,59.67
Tnfr_KO_LPS_4h_S2_rsem,1819667,59.63
Tnfr_KO_LPS_4h_S30_rsem,1903374,60.31
Tnfr_KO_LPS_4h_S31_rsem,1089764,56.91
Tnfr_KO_LPS_4h_S32_rsem,1723207,56.95
Tnfr_KO_LPS_4h_S33_rsem,1054269,57.93
Tnfr_KO_LPS_4h_S35_rsem,2112182,64.22
Tnfr_KO_LPS_4h_S36_rsem,1395211,64.05
Tnfr_KO_LPS_4h_S38_rsem,1385606,62
Tnfr_KO_LPS_4h_S3_rsem,2260067,60.74
Tnfr_KO_LPS_4h_S40_rsem,1614477,56.18
Tnfr_KO_LPS_4h_S44_rsem,1084491,64.81
Tnfr_KO_LPS_4h_S45_rsem,1754439,60.12
Tnfr_KO_LPS_4h_S50_rsem,1041217,66.5
Tnfr_KO_LPS_4h_S51_rsem,2445889,65.07
Tnfr_KO_LPS_4h_S56_rsem,1494607,66.97
Tnfr_KO_LPS_4h_S57_rsem,1640055,54.45
Tnfr_KO_LPS_4h_S5_rsem,1856159,58.19
Tnfr_KO_LPS_4h_S63_rsem,1587263,59.08
Tnfr_KO_LPS_4h_S64_rsem,1532035,52.57
Tnfr_KO_LPS_4h_S65_rsem,2353509,62.48
Tnfr_KO_LPS_4h_S66_rsem,2004981,58.21
Tnfr_KO_LPS_4h_S6_rsem,1650069,58.65
Tnfr_KO_LPS_4h_S70_rsem,2441190,62.29
Tnfr_KO_LPS_4h_S75_rsem,1676500,53.46
Tnfr_KO_LPS_4h_S76_rsem,2047994,62.1
Tnfr_KO_LPS_4h_S77_rsem,2609024,62.54
Tnfr_KO_LPS_4h_S79_rsem,2091313,63.59
Tnfr_KO_LPS_4h_S82_rsem,1985703,64.16
Tnfr_KO_LPS_4h_S83_rsem,1732049,53.04
Tnfr_KO_LPS_4h_S86_rsem,2691711,62.34
Tnfr_KO_LPS_4h_S89_rsem,2197677,61.12
Tnfr_KO_LPS_4h_S90_rsem,1528727,53.16
Tnfr_KO_LPS_4h_S91_rsem,1557689,61.04
Tnfr_KO_LPS_4h_S92_rsem,1866832,61.45
Tnfr_KO_LPS_4h_S93_rsem,2556139,64.22
Tnfr_KO_LPS_4h_S94_rsem,1886106,64.12
Tnfr_KO_LPS_4h_S95_rsem,1786553,53.82
LPS_4h_GolgiPlug_0h_S10_rsem,1727653,58.8
LPS_4h_GolgiPlug_0h_S13_rsem,1910516,61.04
LPS_4h_GolgiPlug_0h_S14_rsem,2112041,40.38
LPS_4h_GolgiPlug_0h_S16_rsem,2704064,49.67
LPS_4h_GolgiPlug_0h_S17_rsem,2300551,51.56
LPS_4h_GolgiPlug_0h_S18_rsem,2880747,44.33
LPS_4h_GolgiPlug_0h_S19_rsem,1748352,50.65
LPS_4h_GolgiPlug_0h_S20_rsem,2471515,44.39
LPS_4h_GolgiPlug_0h_S25_rsem,3423738,41.4
LPS_4h_GolgiPlug_0h_S27_rsem,2781265,36.99
LPS_4h_GolgiPlug_0h_S28_rsem,2780755,53.4
LPS_4h_GolgiPlug_0h_S29_rsem,3252491,47.26
LPS_4h_GolgiPlug_0h_S32_rsem,1629377,50.12
LPS_4h_GolgiPlug_0h_S36_rsem,3207801,52.04
LPS_4h_GolgiPlug_0h_S37_rsem,1940669,54.57
LPS_4h_GolgiPlug_0h_S38_rsem,2238858,53.68
LPS_4h_GolgiPlug_0h_S40_rsem,2704117,56.46
LPS_4h_GolgiPlug_0h_S42_rsem,3081677,58.26
LPS_4h_GolgiPlug_0h_S43_rsem,2290562,31.43
LPS_4h_GolgiPlug_0h_S46_rsem,1913982,40.71
LPS_4h_GolgiPlug_0h_S47_rsem,2431536,42.09
LPS_4h_GolgiPlug_0h_S48_rsem,2800989,56.93
LPS_4h_GolgiPlug_0h_S49_rsem,1317040,36.93
LPS_4h_GolgiPlug_0h_S50_rsem,2376208,63.49
LPS_4h_GolgiPlug_0h_S51_rsem,2156787,48.58
LPS_4h_GolgiPlug_0h_S52_rsem,1464172,48.46
LPS_4h_GolgiPlug_0h_S54_rsem,2397128,42.07
LPS_4h_GolgiPlug_0h_S55_rsem,1934287,38.44
LPS_4h_GolgiPlug_0h_S56_rsem,2630235,42.66
LPS_4h_GolgiPlug_0h_S58_rsem,2203418,55.37
LPS_4h_GolgiPlug_0h_S5_rsem,2019048,53.92
LPS_4h_GolgiPlug_0h_S61_rsem,3045682,52.28
LPS_4h_GolgiPlug_0h_S63_rsem,1441969,44.17
LPS_4h_GolgiPlug_0h_S65_rsem,2873318,56.26
LPS_4h_GolgiPlug_0h_S66_rsem,2337812,51.26
LPS_4h_GolgiPlug_0h_S67_rsem,2154111,51.47
LPS_4h_GolgiPlug_0h_S68_rsem,1205891,43.83
LPS_4h_GolgiPlug_0h_S69_rsem,1298070,35.65
LPS_4h_GolgiPlug_0h_S6_rsem,1786165,52.85
LPS_4h_GolgiPlug_0h_S70_rsem,2626494,40.47
LPS_4h_GolgiPlug_0h_S71_rsem,2266545,49.03
LPS_4h_GolgiPlug_0h_S72_rsem,2424859,38.3
LPS_4h_GolgiPlug_0h_S73_rsem,2908488,56.26
LPS_4h_GolgiPlug_0h_S75_rsem,2027023,47.94
LPS_4h_GolgiPlug_0h_S77_rsem,3052546,42.94
LPS_4h_GolgiPlug_0h_S7_rsem,1399317,43.37
LPS_4h_GolgiPlug_0h_S82_rsem,2632278,52.21
LPS_4h_GolgiPlug_0h_S83_rsem,1478824,45.85
LPS_4h_GolgiPlug_0h_S84_rsem,2764348,45.49
LPS_4h_GolgiPlug_0h_S85_rsem,2358603,57.07
LPS_4h_GolgiPlug_0h_S86_rsem,1020198,42.27
LPS_4h_GolgiPlug_0h_S87_rsem,1856029,36.3
LPS_4h_GolgiPlug_0h_S88_rsem,2976281,57.76
LPS_4h_GolgiPlug_0h_S93_rsem,2661905,53.91
LPS_4h_GolgiPlug_0h_S95_rsem,1867862,50.03
LPS_4h_GolgiPlug_0h_S9_rsem,2044106,49.71
LPS_4h_GolgiPlug_1h_S17_rsem,1434047,49.65
LPS_4h_GolgiPlug_1h_S21_rsem,1918566,32.66
LPS_4h_GolgiPlug_1h_S23_rsem,3249131,40.1
LPS_4h_GolgiPlug_1h_S27_rsem,2958289,37.4
LPS_4h_GolgiPlug_1h_S28_rsem,10230227,58.51
LPS_4h_GolgiPlug_1h_S31_rsem,2939714,49.49
LPS_4h_GolgiPlug_1h_S32_rsem,1472853,37.54
LPS_4h_GolgiPlug_1h_S35_rsem,2909081,46.28
LPS_4h_GolgiPlug_1h_S38_rsem,2618016,55.22
LPS_4h_GolgiPlug_1h_S39_rsem,2615297,49.72
LPS_4h_GolgiPlug_1h_S3_rsem,4668859,44.67
LPS_4h_GolgiPlug_1h_S40_rsem,4583802,55.41
LPS_4h_GolgiPlug_1h_S41_rsem,1199726,43.9
LPS_4h_GolgiPlug_1h_S42_rsem,1333786,48.34
LPS_4h_GolgiPlug_1h_S44_rsem,1813223,54.56
LPS_4h_GolgiPlug_1h_S45_rsem,1276136,40.51
LPS_4h_GolgiPlug_1h_S47_rsem,2607675,46.07
LPS_4h_GolgiPlug_1h_S48_rsem,4528391,42.42
LPS_4h_GolgiPlug_1h_S50_rsem,2414318,43.25
LPS_4h_GolgiPlug_1h_S51_rsem,5255532,51.55
LPS_4h_GolgiPlug_1h_S52_rsem,1501287,45.12
LPS_4h_GolgiPlug_1h_S55_rsem,1283484,43.46
LPS_4h_GolgiPlug_1h_S57_rsem,2352372,48.38
LPS_4h_GolgiPlug_1h_S59_rsem,1430949,56.89
LPS_4h_GolgiPlug_1h_S60_rsem,3651547,51.89
LPS_4h_GolgiPlug_1h_S62_rsem,1714351,48.11
LPS_4h_GolgiPlug_1h_S65_rsem,2068662,47.58
LPS_4h_GolgiPlug_1h_S67_rsem,3756226,47.66
LPS_4h_GolgiPlug_1h_S69_rsem,8998798,60.37
LPS_4h_GolgiPlug_1h_S72_rsem,4167890,51.22
LPS_4h_GolgiPlug_1h_S73_rsem,4779196,48.13
LPS_4h_GolgiPlug_1h_S74_rsem,5035096,55.16
LPS_4h_GolgiPlug_1h_S75_rsem,4926604,40.65
LPS_4h_GolgiPlug_1h_S76_rsem,4265846,43
LPS_4h_GolgiPlug_1h_S78_rsem,1896733,57.07
LPS_4h_GolgiPlug_1h_S79_rsem,1736464,44.09
LPS_4h_GolgiPlug_1h_S81_rsem,2107187,41.91
LPS_4h_GolgiPlug_1h_S83_rsem,1575761,42.59
LPS_4h_GolgiPlug_1h_S84_rsem,3250409,41.46
LPS_4h_GolgiPlug_1h_S85_rsem,1156788,48.72
LPS_4h_GolgiPlug_1h_S86_rsem,2453070,51.59
LPS_4h_GolgiPlug_1h_S87_rsem,3162967,48.9
LPS_4h_GolgiPlug_1h_S88_rsem,2901870,42.5
LPS_4h_GolgiPlug_1h_S91_rsem,2905923,43.38
LPS_4h_GolgiPlug_1h_S95_rsem,2984283,49.28
LPS_4h_GolgiPlug_1h_S96_rsem,3078675,40.7
LPS_4h_GolgiPlug_2h_S12_rsem,1757878,60.75
LPS_4h_GolgiPlug_2h_S15_rsem,3723127,63.19
LPS_4h_GolgiPlug_2h_S16_rsem,1489109,36.62
LPS_4h_GolgiPlug_2h_S1_rsem,1018707,56.99
LPS_4h_GolgiPlug_2h_S21_rsem,1153931,47.9
LPS_4h_GolgiPlug_2h_S22_rsem,4675878,54.78
LPS_4h_GolgiPlug_2h_S23_rsem,1174058,46.38
LPS_4h_GolgiPlug_2h_S27_rsem,5629918,50.5
LPS_4h_GolgiPlug_2h_S29_rsem,2136143,53.08
LPS_4h_GolgiPlug_2h_S2_rsem,1123630,49.76
LPS_4h_GolgiPlug_2h_S30_rsem,2301021,49
LPS_4h_GolgiPlug_2h_S33_rsem,1233264,41.44
LPS_4h_GolgiPlug_2h_S35_rsem,2118008,53.99
LPS_4h_GolgiPlug_2h_S36_rsem,1380229,36.77
LPS_4h_GolgiPlug_2h_S37_rsem,1663766,31.76
LPS_4h_GolgiPlug_2h_S39_rsem,1382092,44.08
LPS_4h_GolgiPlug_2h_S3_rsem,2388691,55.39
LPS_4h_GolgiPlug_2h_S41_rsem,2939795,47.33
LPS_4h_GolgiPlug_2h_S44_rsem,1348107,50.96
LPS_4h_GolgiPlug_2h_S45_rsem,1239114,52.1
LPS_4h_GolgiPlug_2h_S46_rsem,5593867,53.82
LPS_4h_GolgiPlug_2h_S47_rsem,4495078,60.87
LPS_4h_GolgiPlug_2h_S48_rsem,3047522,46.52
LPS_4h_GolgiPlug_2h_S49_rsem,2065742,54.56
LPS_4h_GolgiPlug_2h_S4_rsem,1234290,52.55
LPS_4h_GolgiPlug_2h_S50_rsem,1983313,56.53
LPS_4h_GolgiPlug_2h_S51_rsem,1122324,55.67
LPS_4h_GolgiPlug_2h_S53_rsem,6273049,62.55
LPS_4h_GolgiPlug_2h_S54_rsem,1846542,50.9
LPS_4h_GolgiPlug_2h_S57_rsem,1797818,52.1
LPS_4h_GolgiPlug_2h_S59_rsem,2334065,48.7
LPS_4h_GolgiPlug_2h_S60_rsem,5794442,58.38
LPS_4h_GolgiPlug_2h_S61_rsem,1442888,45.72
LPS_4h_GolgiPlug_2h_S62_rsem,2007221,60.68
LPS_4h_GolgiPlug_2h_S63_rsem,1920134,55.96
LPS_4h_GolgiPlug_2h_S65_rsem,3491740,60.05
LPS_4h_GolgiPlug_2h_S66_rsem,4565017,62.04
LPS_4h_GolgiPlug_2h_S71_rsem,1633593,43.53
LPS_4h_GolgiPlug_2h_S73_rsem,1604854,43.18
LPS_4h_GolgiPlug_2h_S74_rsem,2553913,57.7
LPS_4h_GolgiPlug_2h_S77_rsem,2787000,61.64
LPS_4h_GolgiPlug_2h_S78_rsem,2007901,55.54
LPS_4h_GolgiPlug_2h_S79_rsem,1381860,38.17
LPS_4h_GolgiPlug_2h_S82_rsem,2802213,61.63
LPS_4h_GolgiPlug_2h_S85_rsem,1317068,57.4
LPS_4h_GolgiPlug_2h_S86_rsem,1550676,56.75
LPS_4h_GolgiPlug_2h_S87_rsem,1688236,57.47
LPS_4h_GolgiPlug_2h_S88_rsem,1817381,48.75
LPS_4h_GolgiPlug_2h_S8_rsem,1023894,55.71
LPS_4h_GolgiPlug_2h_S90_rsem,1419819,55.63
LPS_4h_GolgiPlug_2h_S92_rsem,2494130,41.83
LPS_4h_GolgiPlug_2h_S95_rsem,1528240,50.58
LPS_4h_GolgiPlug_2h_S96_rsem,1482009,50.95
On_Chip_Unstim_S13_rsem,3353263,41.06
On_Chip_Unstim_S16_rsem,1330146,26.12
On_Chip_Unstim_S19_rsem,1497360,24.39
On_Chip_Unstim_S25_rsem,1110068,24.64
On_Chip_Unstim_S26_rsem,1393832,17.89
On_Chip_Unstim_S27_rsem,1555174,31.24
On_Chip_Unstim_S28_rsem,1930041,20.61
On_Chip_Unstim_S29_rsem,2102322,25.2
On_Chip_Unstim_S32_rsem,2104319,31.14
On_Chip_Unstim_S38_rsem,1715476,27.92
On_Chip_Unstim_S39_rsem,1383285,15.8
On_Chip_Unstim_S3_rsem,1418501,21.71
On_Chip_Unstim_S40_rsem,1230240,18.94
On_Chip_Unstim_S44_rsem,1449219,18.44
On_Chip_Unstim_S47_rsem,1301750,22.99
On_Chip_Unstim_S48_rsem,1523078,31.3
On_Chip_Unstim_S50_rsem,1274463,17.2
On_Chip_Unstim_S54_rsem,1238523,19.96
On_Chip_Unstim_S55_rsem,1207253,20.98
On_Chip_Unstim_S58_rsem,2389579,44.31
On_Chip_Unstim_S59_rsem,1322314,21.65
On_Chip_Unstim_S5_rsem,1475494,21.12
On_Chip_Unstim_S63_rsem,1936975,20.07
On_Chip_Unstim_S68_rsem,2096803,23.89
On_Chip_Unstim_S73_rsem,3391952,41.91
On_Chip_Unstim_S75_rsem,1844759,41.28
On_Chip_Unstim_S77_rsem,1353101,22.39
On_Chip_Unstim_S79_rsem,1650898,28.54
On_Chip_Unstim_S80_rsem,2986487,41.84
On_Chip_Unstim_S82_rsem,1107325,16.93
On_Chip_Unstim_S86_rsem,2650017,34.7
On_Chip_Unstim_S90_rsem,2704394,18.14
On_Chip_Unstim_S91_rsem,2765578,40.38
On_Chip_Unstim_S92_rsem,1502201,16.08
On_Chip_Unstim_S93_rsem,1350203,35.82
On_Chip_Unstim_S94_rsem,1345680,20
On_Chip_Unstim_S95_rsem,1586828,37.15
On_Chip_Unstim_S9_rsem,1369068,32.72
Ifnar1_KO_LPS_2h_S11_rsem,2502162,53.55
Ifnar1_KO_LPS_2h_S15_rsem,2057623,44.4
Ifnar1_KO_LPS_2h_S16_rsem,2128678,46.95
Ifnar1_KO_LPS_2h_S18_rsem,2217070,54.86
Ifnar1_KO_LPS_2h_S1_rsem,2411852,50.15
Ifnar1_KO_LPS_2h_S20_rsem,2025006,40.53
Ifnar1_KO_LPS_2h_S24_rsem,1858202,45.5
Ifnar1_KO_LPS_2h_S25_rsem,2298794,49.9
Ifnar1_KO_LPS_2h_S26_rsem,3229026,61.6
Ifnar1_KO_LPS_2h_S27_rsem,3090587,41.92
Ifnar1_KO_LPS_2h_S29_rsem,2477484,41.74
Ifnar1_KO_LPS_2h_S2_rsem,1470508,57.78
Ifnar1_KO_LPS_2h_S30_rsem,2488450,36.94
Ifnar1_KO_LPS_2h_S31_rsem,1925995,47.6
Ifnar1_KO_LPS_2h_S33_rsem,1917413,56.87
Ifnar1_KO_LPS_2h_S35_rsem,1586822,43.3
Ifnar1_KO_LPS_2h_S36_rsem,2240183,48.88
Ifnar1_KO_LPS_2h_S38_rsem,1889462,49.06
Ifnar1_KO_LPS_2h_S39_rsem,1758070,51.43
Ifnar1_KO_LPS_2h_S3_rsem,2360214,56.03
Ifnar1_KO_LPS_2h_S40_rsem,1991488,52.56
Ifnar1_KO_LPS_2h_S41_rsem,1727991,53.17
Ifnar1_KO_LPS_2h_S43_rsem,1259916,37.68
Ifnar1_KO_LPS_2h_S44_rsem,3496987,42.26
Ifnar1_KO_LPS_2h_S45_rsem,1498845,32.8
Ifnar1_KO_LPS_2h_S46_rsem,1551496,51.41
Ifnar1_KO_LPS_2h_S47_rsem,2446236,63.62
Ifnar1_KO_LPS_2h_S49_rsem,1952747,43.1
Ifnar1_KO_LPS_2h_S4_rsem,3062152,57.94
Ifnar1_KO_LPS_2h_S51_rsem,2464836,45.98
Ifnar1_KO_LPS_2h_S53_rsem,2003326,49.07
Ifnar1_KO_LPS_2h_S54_rsem,3204779,58.79
Ifnar1_KO_LPS_2h_S56_rsem,1834933,35.2
Ifnar1_KO_LPS_2h_S57_rsem,1923390,44.86
Ifnar1_KO_LPS_2h_S5_rsem,2841251,54.75
Ifnar1_KO_LPS_2h_S60_rsem,1902531,39.16
Ifnar1_KO_LPS_2h_S61_rsem,2307195,51.91
Ifnar1_KO_LPS_2h_S62_rsem,2917259,55.43
Ifnar1_KO_LPS_2h_S65_rsem,2783847,43.33
Ifnar1_KO_LPS_2h_S66_rsem,1984549,49.4
Ifnar1_KO_LPS_2h_S67_rsem,2211151,56.47
Ifnar1_KO_LPS_2h_S68_rsem,2260044,54.41
Ifnar1_KO_LPS_2h_S6_rsem,2256666,58.55
Ifnar1_KO_LPS_2h_S70_rsem,2805464,56.93
Ifnar1_KO_LPS_2h_S71_rsem,1190892,40.22
Ifnar1_KO_LPS_2h_S74_rsem,2049908,56.38
Ifnar1_KO_LPS_2h_S75_rsem,1630453,47.71
Ifnar1_KO_LPS_2h_S76_rsem,1602238,59.57
Ifnar1_KO_LPS_2h_S77_rsem,1925433,44.6
Ifnar1_KO_LPS_2h_S79_rsem,1688519,43.99
Ifnar1_KO_LPS_2h_S80_rsem,1402766,46.25
Ifnar1_KO_LPS_2h_S81_rsem,1366724,39.12
Ifnar1_KO_LPS_2h_S84_rsem,1462276,54.05
Ifnar1_KO_LPS_2h_S85_rsem,2007326,38.51
Ifnar1_KO_LPS_2h_S86_rsem,2026739,57.57
Ifnar1_KO_LPS_2h_S89_rsem,2262360,61.05
Ifnar1_KO_LPS_2h_S8_rsem,2504918,59.02
Ifnar1_KO_LPS_2h_S90_rsem,2103295,50.12
Ifnar1_KO_LPS_2h_S94_rsem,1036589,40.29
Ifnar1_KO_LPS_2h_S95_rsem,1918291,43.24
Ifnar1_KO_LPS_2h_S9_rsem,1324251,43.09
LPS_4h_Technical_Replicate_1_S10_rsem,1645119,57.42
LPS_4h_Technical_Replicate_1_S11_rsem,1822846,54.48
LPS_4h_Technical_Replicate_1_S12_rsem,2107530,51.78
LPS_4h_Technical_Replicate_1_S14_rsem,1947389,55.17
LPS_4h_Technical_Replicate_1_S15_rsem,1612075,51.79
LPS_4h_Technical_Replicate_1_S16_rsem,2003293,50.33
LPS_4h_Technical_Replicate_1_S19_rsem,1986187,62.27
LPS_4h_Technical_Replicate_1_S1_rsem,1803275,54.66
LPS_4h_Technical_Replicate_1_S20_rsem,2032708,57.95
LPS_4h_Technical_Replicate_1_S21_rsem,1445538,53.09
LPS_4h_Technical_Replicate_1_S22_rsem,2077925,50.57
LPS_4h_Technical_Replicate_1_S23_rsem,2100997,53.3
LPS_4h_Technical_Replicate_1_S24_rsem,2131275,56.87
LPS_4h_Technical_Replicate_1_S26_rsem,1964033,58.95
LPS_4h_Technical_Replicate_1_S28_rsem,1843343,58.8
LPS_4h_Technical_Replicate_1_S29_rsem,1807413,58.62
LPS_4h_Technical_Replicate_1_S2_rsem,1758787,57.2
LPS_4h_Technical_Replicate_1_S30_rsem,2191700,60.44
LPS_4h_Technical_Replicate_1_S31_rsem,1312035,48.76
LPS_4h_Technical_Replicate_1_S32_rsem,1699977,57.24
LPS_4h_Technical_Replicate_1_S33_rsem,1741464,55.18
LPS_4h_Technical_Replicate_1_S34_rsem,1496588,60.78
LPS_4h_Technical_Replicate_1_S35_rsem,1648743,58.58
LPS_4h_Technical_Replicate_1_S37_rsem,1878313,50.12
LPS_4h_Technical_Replicate_1_S38_rsem,2380813,50.71
LPS_4h_Technical_Replicate_1_S39_rsem,2158333,57.44
LPS_4h_Technical_Replicate_1_S3_rsem,1626674,58.03
LPS_4h_Technical_Replicate_1_S40_rsem,2223349,57.71
LPS_4h_Technical_Replicate_1_S41_rsem,2000836,53.19
LPS_4h_Technical_Replicate_1_S42_rsem,1714260,59.17
LPS_4h_Technical_Replicate_1_S44_rsem,2144655,58.31
LPS_4h_Technical_Replicate_1_S45_rsem,1504711,54.52
LPS_4h_Technical_Replicate_1_S46_rsem,1718294,56.24
LPS_4h_Technical_Replicate_1_S47_rsem,1922736,57.85
LPS_4h_Technical_Replicate_1_S48_rsem,1637947,60.16
LPS_4h_Technical_Replicate_1_S49_rsem,2118942,53.12
LPS_4h_Technical_Replicate_1_S4_rsem,1799772,55.16
LPS_4h_Technical_Replicate_1_S50_rsem,1806270,62.16
LPS_4h_Technical_Replicate_1_S51_rsem,1964936,60.6
LPS_4h_Technical_Replicate_1_S52_rsem,2306571,53.77
LPS_4h_Technical_Replicate_1_S53_rsem,2477268,59.25
LPS_4h_Technical_Replicate_1_S54_rsem,1509815,59
LPS_4h_Technical_Replicate_1_S55_rsem,1602336,56.06
LPS_4h_Technical_Replicate_1_S56_rsem,1173020,56.26
LPS_4h_Technical_Replicate_1_S57_rsem,1464407,57.26
LPS_4h_Technical_Replicate_1_S58_rsem,1546862,52.54
LPS_4h_Technical_Replicate_1_S59_rsem,1740675,58.95
LPS_4h_Technical_Replicate_1_S5_rsem,1381355,57.54
LPS_4h_Technical_Replicate_1_S60_rsem,1631830,60.88
LPS_4h_Technical_Replicate_1_S61_rsem,2069643,57.98
LPS_4h_Technical_Replicate_1_S62_rsem,1572419,57.81
LPS_4h_Technical_Replicate_1_S63_rsem,2268427,56.74
LPS_4h_Technical_Replicate_1_S64_rsem,1748653,54.76
LPS_4h_Technical_Replicate_1_S65_rsem,2333502,50.34
LPS_4h_Technical_Replicate_1_S67_rsem,1655579,59.22
LPS_4h_Technical_Replicate_1_S69_rsem,2425352,57.9
LPS_4h_Technical_Replicate_1_S6_rsem,1749300,56.84
LPS_4h_Technical_Replicate_1_S70_rsem,1698570,55.51
LPS_4h_Technical_Replicate_1_S71_rsem,1397680,54.26
LPS_4h_Technical_Replicate_1_S72_rsem,1946863,60.32
LPS_4h_Technical_Replicate_1_S73_rsem,1702436,58.64
LPS_4h_Technical_Replicate_1_S74_rsem,1275005,57.32
LPS_4h_Technical_Replicate_1_S75_rsem,1424075,51.63
LPS_4h_Technical_Replicate_1_S76_rsem,1405810,59.88
LPS_4h_Technical_Replicate_1_S79_rsem,1323758,60.13
LPS_4h_Technical_Replicate_1_S7_rsem,2147173,54.84
LPS_4h_Technical_Replicate_1_S80_rsem,1344338,55.77
LPS_4h_Technical_Replicate_1_S81_rsem,1676589,53.2
LPS_4h_Technical_Replicate_1_S84_rsem,1311656,59.72
LPS_4h_Technical_Replicate_1_S86_rsem,2114265,60.42
LPS_4h_Technical_Replicate_1_S87_rsem,1560882,61.01
LPS_4h_Technical_Replicate_1_S88_rsem,1294792,52.01
LPS_4h_Technical_Replicate_1_S89_rsem,1498652,55.11
LPS_4h_Technical_Replicate_1_S8_rsem,1909777,54.15
LPS_4h_Technical_Replicate_1_S90_rsem,2345970,65.03
LPS_4h_Technical_Replicate_1_S91_rsem,2470885,50.11
LPS_4h_Technical_Replicate_1_S92_rsem,1303883,48.07
LPS_4h_Technical_Replicate_1_S93_rsem,1386718,57.61
LPS_4h_Technical_Replicate_1_S94_rsem,1891418,52.26
LPS_4h_Technical_Replicate_1_S96_rsem,2083432,54.86
LPS_4h_Technical_Replicate_1_S9_rsem,1708911,51.2
LPS_4h_Technical_Replicate_2_S11_rsem,2820498,57.92
LPS_4h_Technical_Replicate_2_S12_rsem,2692095,54.17
LPS_4h_Technical_Replicate_2_S14_rsem,2574076,59.21
LPS_4h_Technical_Replicate_2_S15_rsem,2419701,61.46
LPS_4h_Technical_Replicate_2_S16_rsem,2701055,61.05
LPS_4h_Technical_Replicate_2_S17_rsem,2441507,53.95
LPS_4h_Technical_Replicate_2_S19_rsem,1792499,48.25
LPS_4h_Technical_Replicate_2_S20_rsem,2609881,63.56
LPS_4h_Technical_Replicate_2_S22_rsem,2124992,50.49
LPS_4h_Technical_Replicate_2_S23_rsem,2618681,57.88
LPS_4h_Technical_Replicate_2_S26_rsem,2186789,52.88
LPS_4h_Technical_Replicate_2_S27_rsem,2482572,62.37
LPS_4h_Technical_Replicate_2_S28_rsem,2309810,55.14
LPS_4h_Technical_Replicate_2_S2_rsem,2003795,55.7
LPS_4h_Technical_Replicate_2_S30_rsem,1844508,55.18
LPS_4h_Technical_Replicate_2_S31_rsem,1446552,58.03
LPS_4h_Technical_Replicate_2_S32_rsem,2132757,55.92
LPS_4h_Technical_Replicate_2_S33_rsem,2003319,51.56
LPS_4h_Technical_Replicate_2_S35_rsem,2162203,60.78
LPS_4h_Technical_Replicate_2_S37_rsem,1863629,59.66
LPS_4h_Technical_Replicate_2_S38_rsem,1919624,58.13
LPS_4h_Technical_Replicate_2_S41_rsem,2396324,57.28
LPS_4h_Technical_Replicate_2_S44_rsem,1684866,55.81
LPS_4h_Technical_Replicate_2_S45_rsem,1957917,59.17
LPS_4h_Technical_Replicate_2_S46_rsem,1748577,56.06
LPS_4h_Technical_Replicate_2_S48_rsem,1735737,54.45
LPS_4h_Technical_Replicate_2_S49_rsem,1836389,41.75
LPS_4h_Technical_Replicate_2_S4_rsem,2019355,62.37
LPS_4h_Technical_Replicate_2_S50_rsem,1153245,50.52
LPS_4h_Technical_Replicate_2_S52_rsem,2095315,55.91
LPS_4h_Technical_Replicate_2_S54_rsem,1698585,53.55
LPS_4h_Technical_Replicate_2_S55_rsem,2041303,60.6
LPS_4h_Technical_Replicate_2_S58_rsem,1683382,49.92
LPS_4h_Technical_Replicate_2_S60_rsem,1838985,60.89
LPS_4h_Technical_Replicate_2_S61_rsem,2198488,56.88
LPS_4h_Technical_Replicate_2_S62_rsem,1994523,61.91
LPS_4h_Technical_Replicate_2_S63_rsem,1886684,58.81
LPS_4h_Technical_Replicate_2_S65_rsem,2184254,53.38
LPS_4h_Technical_Replicate_2_S68_rsem,1810685,57.57
LPS_4h_Technical_Replicate_2_S69_rsem,2530194,55.52
LPS_4h_Technical_Replicate_2_S71_rsem,2143788,59.5
LPS_4h_Technical_Replicate_2_S72_rsem,2581938,48.46
LPS_4h_Technical_Replicate_2_S74_rsem,1583818,52.18
LPS_4h_Technical_Replicate_2_S75_rsem,2372581,54.74
LPS_4h_Technical_Replicate_2_S78_rsem,2510883,58.63
LPS_4h_Technical_Replicate_2_S79_rsem,2233374,59.99
LPS_4h_Technical_Replicate_2_S81_rsem,2737476,59.66
LPS_4h_Technical_Replicate_2_S82_rsem,2749634,62.53
LPS_4h_Technical_Replicate_2_S83_rsem,2832128,55.09
LPS_4h_Technical_Replicate_2_S86_rsem,2320161,62.58
LPS_4h_Technical_Replicate_2_S89_rsem,2607136,56.36
LPS_4h_Technical_Replicate_2_S8_rsem,2771666,62.46
LPS_4h_Technical_Replicate_2_S92_rsem,2694974,62.4
LPS_4h_Technical_Replicate_2_S93_rsem,2290387,58.11
LPS_4h_Technical_Replicate_2_S94_rsem,2472397,52.51
LPS_4h_Technical_Replicate_2_S9_rsem,1975240,54.58
LPS_2h_Technical_Replicate_1_S10_rsem,1602755,37.43
LPS_2h_Technical_Replicate_1_S11_rsem,2269568,45.08
LPS_2h_Technical_Replicate_1_S16_rsem,3464264,58.68
