Experiment,Total Reads,Aligned Reads % (Transcriptome)
LPS_1h_S33_rsem,9396950,51.88
LPS_1h_S34_rsem,5356934,48.2
LPS_1h_S35_rsem,5544272,42.32
LPS_1h_S36_rsem,6551256,52.33
LPS_1h_S37_rsem,2932572,42.28
LPS_1h_S38_rsem,2214211,53.53
LPS_1h_S39_rsem,4060161,47.42
LPS_1h_S3_rsem,6859953,41.63
LPS_1h_S40_rsem,5270306,53.1
LPS_1h_S41_rsem,4626209,41.65
LPS_1h_S42_rsem,1198093,47.71
LPS_1h_S43_rsem,1248369,47.5
LPS_1h_S44_rsem,7880569,56.16
LPS_1h_S45_rsem,5215586,59.15
LPS_1h_S46_rsem,1025669,42.77
LPS_1h_S47_rsem,2452298,29.23
LPS_1h_S48_rsem,7211930,44.79
LPS_1h_S49_rsem,7538943,55.28
LPS_1h_S4_rsem,2317513,49.15
LPS_1h_S50_rsem,8683408,53.19
LPS_1h_S51_rsem,11042622,50.37
LPS_1h_S52_rsem,11867168,57.64
LPS_1h_S53_rsem,9905654,51.32
LPS_1h_S55_rsem,2212601,35.02
LPS_1h_S56_rsem,7417594,59.77
LPS_1h_S58_rsem,4691500,62.55
LPS_1h_S59_rsem,9033339,55.1
LPS_1h_S5_rsem,6260720,54.26
LPS_1h_S60_rsem,9042450,52.91
LPS_1h_S61_rsem,7103800,51.57
LPS_1h_S62_rsem,5734979,54.07
LPS_1h_S63_rsem,10149770,57.59
LPS_1h_S64_rsem,9503187,56.23
LPS_1h_S66_rsem,2752968,52.79
LPS_1h_S67_rsem,4667834,55.13
LPS_1h_S6_rsem,2927644,49.86
LPS_1h_S70_rsem,4398110,53.03
LPS_1h_S71_rsem,9351174,52.62
LPS_1h_S72_rsem,8895164,48.53
LPS_1h_S73_rsem,5185979,50.51
LPS_1h_S74_rsem,5643687,49.04
LPS_1h_S75_rsem,9284378,55.33
LPS_1h_S77_rsem,7805100,52.07
LPS_1h_S78_rsem,4350082,49.6
LPS_1h_S7_rsem,4130141,51.46
LPS_1h_S80_rsem,8583301,49.5
LPS_1h_S82_rsem,5991286,56.48
LPS_1h_S83_rsem,4075832,52.19
LPS_1h_S85_rsem,6716959,53.3
LPS_1h_S86_rsem,5462344,52.47
LPS_1h_S87_rsem,4448098,51.58
LPS_1h_S88_rsem,14576829,53.02
LPS_1h_S89_rsem,8798384,44.42
LPS_1h_S8_rsem,11251476,56.69
LPS_1h_S90_rsem,1209393,26.06
LPS_1h_S91_rsem,3121337,52.11
LPS_1h_S93_rsem,10088140,54.05
LPS_1h_S94_rsem,4497226,49.64
LPS_1h_S96_rsem,6647263,47.22
LPS_1h_S9_rsem,4455401,43.84
LPS_2h_S11_rsem,7620682,64.98
LPS_2h_S12_rsem,9900973,44.18
LPS_2h_S13_rsem,9895218,60.31
LPS_2h_S14_rsem,5211126,54.58
LPS_2h_S15_rsem,8051680,52.77
LPS_2h_S16_rsem,4037211,39.73
LPS_2h_S17_rsem,6276565,43.12
LPS_2h_S18_rsem,3281339,45.71
LPS_2h_S19_rsem,2501048,45.65
LPS_2h_S1_rsem,10969685,41.76
LPS_2h_S21_rsem,9835856,55.25
LPS_2h_S22_rsem,4521464,57.71
LPS_2h_S23_rsem,10580383,61.84
LPS_2h_S25_rsem,9008442,56.4
LPS_2h_S26_rsem,4913919,52.56
LPS_2h_S27_rsem,7288548,58.62
LPS_2h_S28_rsem,8704152,51.84
LPS_2h_S29_rsem,4887980,54.3
LPS_2h_S2_rsem,5929409,69.38
LPS_2h_S32_rsem,5244473,47.41
LPS_2h_S33_rsem,7880817,51.61
LPS_2h_S34_rsem,3925282,45.38
LPS_2h_S35_rsem,9081848,51.19
LPS_2h_S37_rsem,2396687,50.46
LPS_2h_S38_rsem,1348936,51.39
LPS_2h_S39_rsem,3534396,53.95
LPS_2h_S40_rsem,3973551,48.87
LPS_2h_S41_rsem,3179472,46.28
LPS_2h_S44_rsem,3484498,59.74
LPS_2h_S45_rsem,3762449,64.87
LPS_2h_S49_rsem,10759481,58.11
LPS_2h_S4_rsem,8565741,63.77
LPS_2h_S52_rsem,4590554,43.65
LPS_2h_S53_rsem,4738813,53.64
LPS_2h_S54_rsem,2087703,39.74
LPS_2h_S56_rsem,4100878,42.19
LPS_2h_S57_rsem,8020873,52.86
LPS_2h_S58_rsem,2735580,53.27
LPS_2h_S59_rsem,3325328,27.11
LPS_2h_S5_rsem,5939082,64.11
LPS_2h_S60_rsem,8694771,60.31
LPS_2h_S62_rsem,5557355,61.65
LPS_2h_S63_rsem,6918730,58.72
LPS_2h_S64_rsem,5218388,52.89
LPS_2h_S65_rsem,8237217,55.67
LPS_2h_S66_rsem,3036542,57.08
LPS_2h_S69_rsem,8419023,56.2
LPS_2h_S6_rsem,2321044,41.08
LPS_2h_S71_rsem,7957686,51.02
LPS_2h_S72_rsem,5903110,58.07
LPS_2h_S73_rsem,7908239,50.65
LPS_2h_S75_rsem,9342952,54.78
LPS_2h_S76_rsem,5571498,58.4
LPS_2h_S77_rsem,4058216,60.58
LPS_2h_S78_rsem,3989515,58.3
LPS_2h_S7_rsem,2077823,46.06
LPS_2h_S80_rsem,5097058,59.65
LPS_2h_S81_rsem,4245042,56.01
LPS_2h_S82_rsem,2053206,43.84
LPS_2h_S83_rsem,6215809,59.65
LPS_2h_S84_rsem,8495430,69.48
LPS_2h_S85_rsem,7297359,54.53
LPS_2h_S86_rsem,4930511,40.47
LPS_2h_S87_rsem,11963752,60.18
LPS_2h_S88_rsem,5708124,42.1
LPS_2h_S89_rsem,16696942,58.01
LPS_2h_S8_rsem,10345381,57.63
LPS_2h_S91_rsem,2294254,54.87
LPS_2h_S92_rsem,7185469,51.59
LPS_2h_S93_rsem,8665426,61.16
LPS_2h_S94_rsem,4476374,52.99
LPS_2h_S95_rsem,11428369,63.62
LPS_2h_S9_rsem,7883560,68.46
LPS_4h_S10_rsem,1260411,36
LPS_4h_S14_rsem,3774332,55.99
LPS_4h_S16_rsem,5869937,57.34
LPS_4h_S17_rsem,5923877,46.41
LPS_4h_S18_rsem,1928010,54.99
LPS_4h_S19_rsem,3586077,36.07
LPS_4h_S1_rsem,7592857,51.12
LPS_4h_S20_rsem,9329364,56.26
LPS_4h_S21_rsem,8301255,71.78
LPS_4h_S23_rsem,6976848,46.89
LPS_4h_S24_rsem,9140395,44.54
LPS_4h_S25_rsem,7854821,52.82
LPS_4h_S26_rsem,6402782,54.18
LPS_4h_S27_rsem,6065777,54.7
LPS_4h_S28_rsem,8359993,56.77
LPS_4h_S29_rsem,5596977,54.19
LPS_4h_S2_rsem,3951902,57.35
LPS_4h_S30_rsem,3383017,47.12
LPS_4h_S32_rsem,6027791,53.39
LPS_4h_S33_rsem,2565039,41.18
LPS_4h_S34_rsem,1866081,53.45
LPS_4h_S35_rsem,4848002,61.54
LPS_4h_S36_rsem,7075734,53.24
LPS_4h_S37_rsem,2552593,48.5
LPS_4h_S38_rsem,1448309,54.33
LPS_4h_S3_rsem,6337204,57.21
LPS_4h_S40_rsem,2026222,47.67
LPS_4h_S41_rsem,2445683,33.81
LPS_4h_S45_rsem,3604764,56.42
LPS_4h_S48_rsem,1552558,45.72
LPS_4h_S49_rsem,5659105,57.99
LPS_4h_S4_rsem,3167721,44.44
LPS_4h_S50_rsem,2108827,47.28
LPS_4h_S51_rsem,4249690,51.83
LPS_4h_S52_rsem,5640203,47.1
LPS_4h_S53_rsem,7859134,50.19
LPS_4h_S54_rsem,3017430,55.2
LPS_4h_S55_rsem,1557996,55.48
LPS_4h_S56_rsem,6098372,53.34
LPS_4h_S57_rsem,3763756,57.63
LPS_4h_S58_rsem,2323440,53.37
LPS_4h_S59_rsem,5882636,57.81
LPS_4h_S5_rsem,9839685,55.79
LPS_4h_S60_rsem,7432981,56.99
LPS_4h_S62_rsem,5248154,59.47
LPS_4h_S63_rsem,4215905,43.16
LPS_4h_S64_rsem,10012416,54.02
LPS_4h_S65_rsem,7216077,53.34
LPS_4h_S66_rsem,3866926,53.02
LPS_4h_S68_rsem,9823457,47.88
